date,moisture,temp,rain,rain3,humid,et0,water
2025-09-15,37.1,30.7,2.1,16.3,82,4.49,0
2025-09-16,38.0,29.9,0.0,5.8,81,4.16,0
2025-09-17,34.9,30.8,0.4,4.6,80,4.55,0
2025-09-18,35.8,30.9,9.5,2.5,84,4.14,0
2025-09-19,39.5,30.1,12.4,9.9,86,3.87,0
2025-09-20,40.8,29.0,3.4,22.3,88,3.6,0
2025-09-21,38.3,29.3,36.8,25.3,89,3.0,0
2025-09-22,42.1,28.5,15.9,52.6,91,2.69,0
2025-09-23,42.2,28.0,29.8,56.1,91,3.49,0
2025-09-24,42.0,28.7,5.5,82.5,89,3.17,0
2025-09-25,40.2,29.1,44.8,51.2,88,3.4,0
2025-09-26,42.1,28.6,8.7,80.1,89,3.39,0
2025-09-27,41.0,28.3,0.3,59.0,89,2.86,0
2025-09-28,38.7,32.3,0.3,53.8,80,4.55,0
2025-09-29,37.4,32.9,14.9,9.3,73,4.65,0
2025-09-30,40.7,26.6,13.0,15.5,92,1.86,0
2025-10-01,42.2,28.4,7.6,28.2,90,3.16,0
2025-10-02,39.6,30.3,5.2,35.5,86,3.64,0
2025-10-03,37.1,31.3,9.5,25.8,84,4.06,0
2025-10-04,35.3,30.0,0.7,22.3,88,3.0,0
2025-10-05,33.8,31.4,4.0,15.4,85,4.31,0
2025-10-06,30.2,30.3,5.9,14.2,86,3.77,0
2025-10-07,30.3,30.0,6.5,10.6,88,3.79,0
2025-10-08,31.0,29.3,8.0,16.4,83,4.07,0
2025-10-09,30.6,30.9,1.6,20.4,84,4.04,0
2025-10-10,29.7,30.9,0.0,16.1,78,4.42,1
2025-10-11,27.9,31.1,0.1,9.6,74,4.4,1
2025-10-12,27.9,31.3,9.5,1.7,78,4.26,1
2025-10-13,28.7,29.6,9.1,9.6,85,3.43,0
2025-10-14,33.3,29.1,32.8,18.7,89,2.8,0
2025-10-15,40.3,27.2,13.9,51.4,90,2.83,0
2025-10-16,39.3,28.8,2.3,55.8,86,3.68,0
2025-10-17,36.3,30.6,1.5,49.0,87,3.87,0
2025-10-18,35.5,31.4,8.5,17.7,85,3.93,0
2025-10-19,35.2,30.4,0.1,12.3,83,3.86,0
2025-10-20,34.8,30.4,0.3,10.1,80,4.03,0
2025-10-21,33.2,31.2,0.0,8.9,75,4.21,0
2025-10-22,32.5,30.4,0.0,0.4,72,4.57,0
2025-10-23,32.1,29.9,0.6,0.3,73,4.06,0
2025-10-24,31.2,28.8,0.2,0.6,78,3.88,0
2025-10-25,30.6,29.3,0.2,0.8,78,3.88,0
2025-10-26,29.7,30.0,0.0,1.0,78,3.94,1
2025-10-27,29.3,30.7,0.0,0.4,77,4.04,1
2025-10-28,29.3,31.1,0.0,0.2,72,4.26,1
2025-10-29,28.3,31.4,0.0,0.0,75,4.14,1
2025-10-30,27.2,32.6,5.7,0.0,72,4.28,1
2025-10-31,27.4,30.1,39.1,5.7,76,3.77,0
2025-11-01,38.1,28.5,25.3,44.8,88,3.02,0
2025-11-02,40.9,28.1,37.5,70.1,90,2.38,0
2025-11-03,42.1,27.4,10.6,101.9,89,2.32,0
2025-11-04,41.4,27.8,1.4,73.4,86,2.98,0
2025-11-05,38.7,28.3,2.2,49.5,83,3.42,0
2025-11-06,37.3,28.1,0.0,14.2,85,3.38,0
2025-11-07,35.0,30.5,33.2,3.6,80,3.54,0
2025-11-08,41.0,27.3,20.6,35.4,91,2.15,0
2025-11-09,42.4,26.7,17.3,53.8,92,2.13,0
2025-11-10,40.3,28.1,0.1,71.1,90,2.82,0
2025-11-11,36.6,30.2,0.1,38.0,85,3.18,0
2025-11-12,35.1,30.6,0.2,17.5,80,3.68,0
2025-11-13,33.9,30.3,3.6,0.4,79,3.71,0
2025-11-14,32.2,28.6,4.8,3.9,84,3.27,0
2025-11-15,33.0,28.3,0.5,8.6,84,3.31,0
2025-11-16,32.5,29.1,2.9,8.9,74,3.78,0
2025-11-17,33.0,27.6,13.5,8.2,74,3.06,0
2025-11-18,39.2,25.3,2.1,16.9,88,1.38,0
2025-11-19,39.0,22.7,0.0,18.5,87,1.39,0
2025-11-20,36.9,26.0,0.0,15.6,69,3.35,0
2025-11-21,35.3,26.9,0.0,2.1,66,4.0,0
2025-11-22,33.7,26.9,0.0,0.0,75,3.52,0
2025-11-23,32.8,27.9,0.0,0.0,79,3.55,0
2025-11-24,31.5,28.3,0.0,0.0,75,3.77,0
2025-11-25,30.6,26.7,0.0,0.0,69,3.95,0
2025-11-26,29.6,26.0,0.0,0.0,69,3.75,1
2025-11-27,28.5,25.8,0.0,0.0,65,3.95,1
2025-11-28,27.3,24.6,0.0,0.0,60,3.99,1
2025-11-29,26.3,24.9,0.0,0.0,67,3.35,1
2025-11-30,25.5,25.8,0.0,0.0,73,3.4,1
2025-12-01,25.4,26.7,0.0,0.0,75,3.47,1
2025-12-02,25.4,27.3,0.0,0.0,71,3.5,1
2025-12-03,25.4,28.2,0.0,0.0,75,3.46,1
2025-12-04,24.9,28.1,0.0,0.0,77,3.48,1
2025-12-05,24.0,28.3,0.7,0.0,76,3.37,1
2025-12-06,22.9,28.4,0.2,0.7,81,3.29,1
2025-12-07,22.0,29.2,0.5,0.9,80,3.3,1
2025-12-08,21.5,27.8,0.4,1.4,81,3.02,1
2025-12-09,21.0,26.5,0.0,1.1,78,2.93,1
2025-12-10,21.6,26.4,0.0,0.9,75,3.0,1
2025-12-11,21.4,26.8,1.1,0.4,73,3.2,1
2025-12-12,21.7,26.4,0.2,1.1,78,2.77,1
2025-12-13,21.1,26.7,1.7,1.3,83,2.61,1
2025-12-14,21.4,26.6,0.0,3.0,84,2.48,1
2025-12-15,20.9,27.4,0.2,1.9,81,3.1,1
2025-12-16,20.7,27.9,5.4,1.9,77,3.23,1
2025-12-17,22.0,27.1,1.8,5.6,79,3.06,0
2025-12-18,21.4,26.5,0.5,7.4,80,2.93,1
2025-12-19,20.4,27.0,0.0,7.7,79,3.1,1
2025-12-20,21.1,27.4,0.0,2.3,74,3.27,1
2025-12-21,21.4,27.2,0.0,0.5,71,3.1,1
2025-12-22,21.0,27.4,0.0,0.0,73,3.32,1
2025-12-23,20.3,27.5,0.0,0.0,73,3.15,1
2025-12-24,19.7,28.6,0.0,0.0,70,3.45,1
2025-12-25,18.9,28.8,0.0,0.0,71,3.3,1
2025-12-26,18.9,28.1,0.0,0.0,70,3.47,1
2025-12-27,18.6,27.2,0.0,0.0,72,3.13,1
2025-12-28,18.3,27.1,0.0,0.0,72,3.27,1
2025-12-29,18.2,28.0,0.0,0.0,72,3.4,1
2025-12-30,19.2,27.0,0.0,0.0,72,3.11,1
2025-12-31,20.4,27.4,0.0,0.0,73,3.44,1
2026-01-01,22.0,27.7,0.0,0.0,76,3.34,1
2026-01-02,22.8,26.4,0.1,0.0,73,3.24,1
2026-01-03,22.8,25.8,0.0,0.1,75,3.1,1
2026-01-04,22.9,26.4,0.0,0.1,76,3.17,1
2026-01-05,22.9,27.1,0.0,0.1,72,3.32,1
2026-01-06,24.1,25.9,0.0,0.0,72,3.31,1
2026-01-07,25.1,25.2,0.0,0.0,74,3.24,1
2026-01-08,26.1,25.1,0.0,0.0,72,3.1,1
2026-01-09,27.6,24.8,0.0,0.0,71,3.23,1
2026-01-10,28.0,25.2,0.0,0.0,70,3.35,1
2026-01-11,29.6,24.1,0.0,0.0,70,3.03,1
2026-01-12,31.9,25.2,0.0,0.0,70,3.31,0
2026-01-13,33.1,26.5,0.0,0.0,74,3.39,0
2026-01-14,32.6,26.5,0.0,0.0,71,3.45,0
2026-01-15,31.6,27.0,0.0,0.0,71,3.4,0
2026-01-16,31.3,26.9,0.0,0.0,78,3.3,0
2026-01-17,30.0,28.1,0.0,0.0,75,3.49,0
2026-01-18,30.3,28.2,0.0,0.0,65,3.65,0
2026-01-19,32.9,27.9,0.0,0.0,68,3.7,0
2026-01-20,35.0,28.4,0.0,0.0,67,3.7,0
2026-01-21,37.9,28.3,0.0,0.0,62,3.66,0
2026-01-22,38.1,27.5,0.0,0.0,68,3.55,0
2026-01-23,36.0,26.0,0.0,0.0,73,3.2,0
2026-01-24,34.3,26.9,0.0,0.0,72,3.56,0
2026-01-25,33.1,27.0,0.0,0.0,68,3.6,0
2026-01-26,32.0,27.4,0.0,0.0,64,3.62,0
2026-01-27,33.3,28.1,0.0,0.0,67,3.71,0
2026-01-28,33.3,28.3,0.0,0.0,66,3.74,0
2026-01-29,33.3,27.9,0.0,0.0,67,3.7,0
2026-01-30,33.2,28.2,0.0,0.0,65,3.67,0
2026-01-31,34.1,29.4,0.0,0.0,68,3.8,0
2026-02-01,33.1,29.4,0.0,0.0,66,3.84,0
2026-02-02,31.9,28.3,0.0,0.0,67,3.56,0
2026-02-03,32.8,28.2,0.0,0.0,65,3.7,0
2026-02-04,32.5,28.8,0.0,0.0,64,3.84,0
2026-02-05,32.2,29.2,0.0,0.0,67,3.91,0
2026-02-06,31.2,30.2,0.0,0.0,67,3.94,0
2026-02-07,31.7,29.9,0.0,0.0,65,4.02,0
2026-02-08,32.1,29.1,2.6,0.0,68,3.93,0
2026-02-09,32.6,28.3,0.0,2.6,79,3.14,0
2026-02-10,29.5,30.0,0.1,2.6,74,3.76,1
2026-02-11,28.6,29.5,0.0,2.7,67,3.7,1
2026-02-12,28.7,31.4,0.0,0.1,66,4.08,1
2026-02-13,30.0,30.8,0.0,0.1,60,4.28,0
2026-02-14,31.9,30.6,0.0,0.0,56,4.27,0
2026-02-15,33.5,30.8,0.0,0.0,59,4.19,0
2026-02-16,35.1,31.4,0.0,0.0,61,4.34,0
2026-02-17,36.0,32.6,0.3,0.0,61,4.18,0
2026-02-18,35.8,30.5,1.7,0.3,68,3.75,0
2026-02-19,33.5,30.5,0.1,2.0,75,3.65,0
2026-02-20,31.1,30.6,0.5,2.1,75,3.83,0
2026-02-21,30.8,31.5,0.1,2.3,81,3.58,0
2026-02-22,30.9,28.4,0.2,0.7,80,2.1,0
2026-02-23,30.1,27.6,0.0,0.8,83,1.92,0
2026-02-24,30.7,29.4,0.0,0.3,73,2.06,0
2026-02-25,30.4,26.0,1.4,0.2,68,3.37,0
2026-02-26,28.0,28.8,0.3,1.4,74,3.67,1
2026-02-27,26.3,30.0,0.0,1.7,71,3.92,1
2026-02-28,24.9,31.5,0.0,1.7,65,4.15,1
2026-03-01,24.2,31.1,0.0,0.3,63,4.34,1
2026-03-02,24.2,31.3,0.0,0.0,58,4.21,1
2026-03-03,25.3,31.7,0.0,0.0,56,4.25,1
2026-03-04,25.7,31.8,0.0,0.0,58,4.3,1
2026-03-05,25.0,30.6,0.3,0.0,61,3.93,1
2026-03-06,22.9,29.1,0.0,0.3,68,3.69,1
2026-03-07,20.2,30.5,0.0,0.3,67,3.91,1
2026-03-08,19.3,32.2,0.0,0.3,62,4.03,1
2026-03-09,19.7,31.5,3.5,0.0,64,3.93,1
2026-03-10,17.8,28.9,4.0,3.5,75,3.42,1
2026-03-11,21.4,28.5,0.1,7.5,82,2.84,1
2026-03-12,23.3,29.7,1.5,7.6,75,3.78,1
2026-03-13,22.7,26.6,0.6,5.6,77,3.3,0
2026-03-14,23.9,27.8,5.2,2.2,78,3.31,1
2026-03-15,23.4,29.3,0.0,7.3,73,3.45,0
2026-03-16,22.0,28.0,0.0,5.8,75,3.55,1
2026-03-17,22.3,29.7,0.0,5.2,77,3.84,1
2026-03-18,21.7,31.5,0.0,0.0,63,4.01,1
2026-03-19,22.4,31.9,0.0,0.0,57,4.27,1
2026-03-20,22.6,32.2,0.0,0.0,54,4.06,1
2026-03-21,21.9,32.5,0.0,0.0,56,4.33,1
2026-03-22,18.4,33.6,0.0,0.0,61,4.63,1
2026-03-23,16.6,33.0,0.0,0.0,56,4.98,1
2026-03-24,17.4,32.9,0.0,0.0,51,4.76,1
2026-03-25,18.0,33.4,0.0,0.0,53,4.89,1
2026-03-26,18.8,33.9,0.0,0.0,52,4.83,1
2026-03-27,19.6,34.2,0.0,0.0,54,5.11,1
2026-03-28,19.8,34.2,0.0,0.0,55,5.01,1
2026-03-29,18.5,34.9,0.0,0.0,53,4.89,1
2026-03-30,18.4,34.3,0.0,0.0,52,4.96,1
2026-03-31,18.9,34.7,0.1,0.0,53,4.82,1
2026-04-01,20.7,34.2,0.0,0.1,53,4.6,1
2026-04-02,22.4,34.6,0.0,0.1,54,4.87,1
2026-04-03,22.3,35.1,0.0,0.1,52,4.73,1
2026-04-04,21.4,34.9,0.0,0.0,57,4.8,1
2026-04-05,19.9,35.1,0.0,0.0,57,4.77,1
2026-04-06,18.7,35.2,0.0,0.0,58,4.89,1
2026-04-07,18.1,35.4,0.0,0.0,62,4.94,1
2026-04-08,16.8,34.9,0.1,0.0,59,4.97,1
2026-04-09,16.5,34.4,0.0,0.1,57,4.75,1
2026-04-10,15.2,35.5,0.0,0.1,56,5.1,1
2026-04-11,15.2,35.7,0.0,0.1,54,5.11,1
2026-04-12,14.7,34.8,0.0,0.0,53,5.16,1
2026-04-13,14.2,35.6,0.0,0.0,55,5.28,1
2026-04-14,13.9,35.7,0.0,0.0,53,4.96,1
2026-04-15,13.6,36.1,0.0,0.0,48,5.47,1
2026-04-16,13.5,35.8,0.0,0.0,49,4.96,1
2026-04-17,13.4,36.2,0.0,0.0,53,4.99,1
2026-04-18,14.4,36.4,0.0,0.0,57,5.55,1
2026-04-19,14.3,36.5,0.0,0.0,53,5.62,1
2026-04-20,13.6,34.9,0.0,0.0,53,5.06,1
2026-04-21,14.1,35.8,0.0,0.0,54,5.56,1
2026-04-22,13.3,36.6,0.2,0.0,54,5.33,1
2026-04-23,14.7,34.8,0.0,0.2,60,4.71,1
2026-04-24,16.5,35.9,11.6,0.2,61,5.07,0
2026-04-25,20.5,31.9,7.4,11.8,76,3.84,1
2026-04-26,29.7,31.1,1.8,19.0,77,4.66,1
2026-04-27,24.4,33.8,0.8,20.8,70,4.89,1
2026-04-28,21.7,33.2,3.8,10.0,67,4.88,1
2026-04-29,22.6,32.5,0.6,6.4,73,3.91,1
2026-04-30,23.9,33.4,0.2,5.2,69,4.82,1
2026-05-01,20.4,33.5,0.0,4.6,66,5.34,1
2026-05-02,17.5,34.7,1.6,0.8,59,5.1,1
2026-05-03,14.3,35.1,0.0,1.8,62,5.13,1
2026-05-04,12.1,36.8,20.2,1.6,54,5.62,0
2026-05-05,13.1,33.3,17.0,21.8,66,5.01,0
2026-05-06,22.8,35.4,6.1,37.2,71,5.01,1
2026-05-07,15.2,36.0,0.2,43.3,67,5.41,1
2026-05-08,16.9,32.5,10.6,23.3,70,4.67,0
2026-05-09,21.1,31.2,8.8,16.9,78,3.56,1
2026-05-10,27.3,31.9,22.9,19.6,79,4.12,0
2026-05-11,34.1,31.5,17.4,42.3,83,4.29,0
2026-05-12,36.8,29.1,22.1,49.1,88,3.26,0
2026-05-13,37.3,31.2,6.0,62.4,87,4.02,0
2026-05-14,36.5,28.8,27.5,45.5,88,3.5,0
2026-05-15,38.6,29.7,8.8,55.6,86,3.1,0
2026-05-16,35.3,32.6,0.0,42.3,79,4.99,0
2026-05-17,29.6,33.7,11.7,36.3,70,5.67,0
2026-05-18,26.7,34.1,12.3,20.5,74,5.37,0
2026-05-19,25.8,33.8,12.4,24.0,73,5.28,0
2026-05-20,27.6,32.9,6.5,36.4,80,4.72,1
2026-05-21,23.6,33.0,7.5,31.2,78,4.98,1
2026-05-22,22.8,32.9,8.0,26.4,81,4.48,1
2026-05-23,28.1,31.1,8.0,22.0,84,4.12,1
2026-05-24,31.9,32.3,13.4,23.5,83,4.47,0
2026-05-25,33.1,32.3,15.6,29.4,83,4.33,0
2026-05-26,34.3,32.0,4.1,37.0,84,3.97,0
2026-05-27,29.1,33.1,7.7,33.1,77,5.17,1
2026-05-28,32.3,33.0,1.5,27.4,80,5.2,0
2026-05-29,33.0,31.6,16.7,13.3,81,4.17,0
2026-05-30,34.2,31.4,15.2,25.9,79,4.52,0
2026-05-31,35.9,31.3,1.4,33.4,82,4.92,0
2026-06-01,30.4,32.6,0.2,33.3,81,5.33,0
2026-06-02,27.7,33.6,0.7,16.8,75,5.79,1
2026-06-03,22.3,34.0,4.7,2.3,74,5.7,1
2026-06-04,18.6,34.6,7.4,5.6,77,5.38,1
2026-06-05,26.6,31.0,18.7,12.8,86,4.19,0
2026-06-06,37.4,29.6,20.6,30.8,88,2.91,0
2026-06-07,39.4,29.7,24.7,46.7,88,3.06,0
2026-06-08,39.4,29.9,2.7,64.0,88,3.85,0
2026-06-09,36.6,31.8,9.5,48.0,81,4.68,0
2026-06-10,35.3,30.7,17.3,36.9,86,4.25,0
2026-06-11,41.6,28.0,14.7,29.5,90,3.4,0
2026-06-12,41.6,29.3,27.5,41.5,86,3.75,0
2026-06-13,42.2,29.8,12.7,59.5,87,3.24,0
2026-06-14,40.9,30.8,23.6,54.9,81,4.32,0
2026-06-15,40.9,30.4,1.1,63.8,86,3.98,0
2026-06-16,39.8,31.6,7.6,37.4,81,4.83,0
2026-06-17,39.8,29.9,9.7,32.3,85,3.99,0
2026-06-18,40.7,30.5,3.8,18.4,85,4.4,0
2026-06-19,39.6,30.3,8.8,21.1,84,4.29,0
2026-06-20,36.5,31.3,14.5,22.3,81,4.41,0
2026-06-21,40.0,30.6,1.3,27.1,85,4.37,0
2026-06-22,39.0,30.2,6.8,24.6,81,3.85,0
2026-06-23,37.6,30.7,3.7,22.6,79,4.83,0
2026-06-24,36.5,32.0,12.9,11.8,80,5.14,0
2026-06-25,38.1,32.3,1.9,23.4,80,5.33,0
2026-06-26,35.9,31.7,15.7,18.5,77,4.85,0
2026-06-27,37.1,31.5,11.4,30.5,81,4.8,0
2026-06-28,38.7,31.4,17.2,29.0,85,4.65,0
2026-06-29,38.5,31.4,22.6,44.3,84,4.15,0
2026-06-30,42.5,28.4,10.8,51.2,87,2.42,0
2026-07-01,41.2,30.1,16.9,50.6,87,3.65,0
2026-07-02,40.9,30.7,20.0,50.3,85,4.05,0
2026-07-03,41.1,30.7,8.7,47.7,86,4.2,0
2026-07-04,41.5,30.8,15.2,45.6,84,4.14,0
2026-07-05,41.5,30.9,1.8,43.9,81,4.12,0
2026-07-06,40.1,29.3,3.2,25.7,81,3.24,0
2026-07-07,39.1,29.4,12.9,20.2,81,2.98,0
2026-07-08,39.1,28.9,26.2,17.9,88,2.87,0
2026-07-09,42.0,27.5,32.5,42.3,90,2.51,0
2026-07-10,43.1,26.2,13.7,71.6,95,2.01,0
2026-07-11,42.1,29.6,4.0,72.4,87,4.67,0
2026-07-12,40.0,31.5,5.1,50.2,83,4.22,0
2026-07-13,39.9,31.4,8.4,22.8,85,4.68,0
2026-07-14,39.3,30.7,1.9,17.5,78,4.46,0
2026-07-15,38.9,30.1,12.2,15.4,78,3.53,0
2026-07-16,39.9,29.9,3.4,22.5,81,4.04,0
2026-07-17,39.1,29.5,2.8,17.5,84,3.39,0
2026-07-18,40.8,26.8,8.7,18.4,85,2.26,0
2026-07-19,41.0,29.0,1.7,14.9,85,2.62,0
2026-07-20,38.3,27.4,28.5,13.2,87,2.46,0
2026-07-21,41.1,28.9,30.0,38.9,90,3.44,0
2026-07-22,42.6,29.5,11.4,60.2,90,4.03,0
2026-07-23,41.5,30.1,29.4,69.9,88,3.91,0
2026-07-24,41.7,29.2,20.4,70.8,88,4.15,0
2026-07-25,42.0,31.5,8.2,61.2,86,4.88,0
2026-07-26,41.8,31.6,12.6,58.0,84,4.62,0
2026-07-27,41.5,28.6,20.7,41.2,89,3.0,0
2026-07-28,42.1,31.3,21.6,41.5,88,3.63,0
2026-07-29,42.4,30.2,19.8,54.9,87,3.55,0
2026-07-30,42.4,28.2,22.3,62.1,90,2.42,0
2026-07-31,42.6,29.6,48.3,63.7,89,3.67,0
2026-08-01,43.1,29.0,50.6,90.4,90,3.22,0
2026-08-02,42.9,29.6,26.2,121.2,89,3.67,0
2026-08-03,41.8,30.6,14.0,125.1,88,3.85,0
2026-08-04,42.3,28.8,22.0,90.8,89,2.9,0
2026-08-05,42.7,29.0,25.5,62.2,92,2.48,0
2026-08-06,41.0,31.8,48.2,61.5,87,4.7,0
2026-08-07,42.9,29.1,57.1,95.7,91,3.49,0
